Variable / Field Name,Form Name,Section Header,Field Type,Field Label,select_choices_or_calculations,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
f6b_whodas_getting_dressed,additional_mat,,dropdown,"In the past 30 days, how much difficulty did you have in getting dressed?","1, None | 2, Mild | 3, Moderate | 4, Severe | 5, Extreme or cannot do",,,,,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_dealing_with_strangers,additional_mat,,dropdown,"In the past 30 days, how much difficulty did you have in dealing with people you do not know?","1, None | 2, Mild | 3, Moderate | 4, Severe | 5, Extreme or cannot do",,,,,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_maintaining_friendship,additional_mat,,dropdown,"In the past 30 days, how much difficulty did you have in maintaining a friendship?","1, None | 2, Mild | 3, Moderate | 4, Severe | 5, Extreme or cannot do",,,,,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_day_to_day_activity,additional_mat,,dropdown,"In the past 30 days, how much difficulty did you have in your day-to-day work/school?","1, None | 2, Mild | 3, Moderate | 4, Severe | 5, Extreme or cannot do",,,,,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_number_of_difficult_days,additional_mat,,text,"Overall, in the past 30 days, how many days were these difficulties present?",,,integer,0,30,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_number_of_days_unable_to_work,additional_mat,,text,"In the past 30 days, for how many days were you totally unable to carry out your usual activities or work because of any health condition?",,,integer,0,30,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_number_of_days_cut_back,additional_mat,,text,"In the past 30 days, not counting the days that you were totally unable, for how many days did you cut back or reduce your usual activities or work because of any health condition?",,,integer,0,30,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_whodas_rate_overall_health,additional_mat,,dropdown,"In the past 30 days, how would you rate your overall health?","1, Very good | 2, Good | 3, Neither poor nor good | 4, Poor | 5, Very poor",,,,,,[profile_summary_arm_1][f2a_cohort] = '2',y,RH,,,,
f6b_warning,additional_mat,,descriptive,"<div class=""blue"" style=""text-align:center""><p style=""text-align:center""><b> Please remember to fill in HTN/FGR/IUFD form.</b>
</div></p>
",,,,,,,"([precise_visit_1_arm_1][f6a_tod_hypertension_cohort] = ""1"" or [precise_visit_1_arm_1][f6a_tod_stillbirth_cohort] = ""1"" or [precise_visit_1_arm_1][f6a_tod_fgr_cohort] = ""1"" or [precise_visit_2_arm_1][f6a2_tod_hypertension_cohort] = ""1"" or [precise_visit_2_arm_1][f6a2_tod_stillbirth_cohort] = ""1"" or [precise_visit_2_arm_1][f6a2_tod_fgr_cohort] = ""1"" or [nonprecise_anc_1_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_1_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_1_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_2_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_2_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_2_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_3_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_3_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_3_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_4_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_4_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_4_arm_1][f6a3_tod_fgr_cohort] = ""1"" or [nonprecise_anc_5_arm_1][f6a3_tod_hypertension_cohort] = ""1"" or [nonprecise_anc_5_arm_1][f6a3_tod_stillbirth_cohort] = ""1"" or [nonprecise_anc_5_arm_1][f6a3_tod_fgr_cohort]) and [profile_summary_arm_1][f2a_cohort] <> '1'",,RH,,,,
f6b_14_not_needed,additional_mat,System,descriptive," <span style=""background:yellow""> <span style=""color:red"">This form is not required for this woman.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] = '1' or [profile_summary_arm_1][f2a_cohort] >= '4',,RH,,,,
f6b_14_app_username,additional_mat,,text,Mobile app username:,,,,,,,,,RH,,,, @APPUSERNAME-APP @READONLY @HIDDEN-APP
fsm_vaginal_swab_intra,birth_part_1,,yesno,Was Intrapartum Vaginal swab collected?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
fsm_vaginal_swab_intra_reason,birth_part_1,,dropdown,"=> if no, why?","0, No consent | 1, Participant refused | 2, No staff member available to collect sample | 3, No staff member available to process the sample | 8, Participant did not deliver in one of the study sites | 90, Other (specify) | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([fsm_vaginal_swab_intra] = '0'),y,RH,,,,
fsm_vaginal_swab_intra_reason_other,birth_part_1,,text,"=> if no, other reason (specify)",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([fsm_vaginal_swab_intra_reason] = '90'),y,RH,,,,
f7_delivery_location,birth_part_1,,dropdown,What was the location of the delivery?,"1, Home | 2, PHC | 3, District hospital | 4, Regional hospital | 5, Tertiary hospital | 6, Private hospital/clinic | 7, En route | 90, Other | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_mz_district_hospital,birth_part_1,,dropdown,=> (MZ) Which district hospital did she deliver at?,"1, Manhica | 2, Xinavane | 90, Other | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_location] = '3'),y,RH,,,,
f7_mz_district_hospital_specify,birth_part_1,,text,"==> (MZ) If other, please specify",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_mz_district_hospital] = '90'),y,RH,,,,
f7_arrival_date,birth_part_1,,text,What was the DATE of arrival at the facility for delivery admission?,,,date_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_arrival_date_dk,birth_part_1,,dropdown,Don't know or not applicable,"99, Don't know | 98, Not applicable",,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_arrival_date] = """")",y,RH,,,,
f7_arrival_time,birth_part_1,,text,What was the TIME of arrival at the facility for delivery admission?,,,time,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_arrival_time_dk,birth_part_1,,dropdown,Don't know or not applicable,"99, Don't know | 98, Not applicable",,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_arrival_time] = """")",y,RH,,,,
f7_assessment_date,birth_part_1,,text,What was the DATE of first assessment at the facility for delivery admission?,,,date_ymd,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_assessment_date_dk,birth_part_1,,dropdown,Don't know or not applicable,"99, Don't know | 98, Not applicable",,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_assessment_date] = """")",y,RH,,,,
f7_assessment_time,birth_part_1,,text,What was the TIME of first assessment at the facility for delivery admission?,,,time,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_assessment_time_dk,birth_part_1,,dropdown,Don't know or not applicable,"99, Don't know | 98, Not applicable",,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_assessment_time] = """")",y,RH,,,,
f7_antenatal_care,birth_part_1,,radio,Did the woman have antenatal care prior to this delivery admission?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_antenatal_care_number_of_visits,birth_part_1,,text,"=> If yes, how many times did she receive antenatal care during this pregnancy?",,,integer,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_antenatal_care] = '1'),y,RH,,,,
f7_bp_measured,birth_part_1,,radio,"=> If yes, as part of her antenatal care was her BP measured at least once during the pregnancy?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_antenatal_care] = '1'),y,RH,,,,
f7_bp_measured_every_visit,birth_part_1,,radio,"=> If yes, was the woman's BP measured at EVERY visit?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_antenatal_care] = '1'),y,RH,,,,
f7_injection_during_pregnancy,birth_part_1,,yesno,"During this pregnancy, were you given an injection in the arm to prevent the baby from getting tetanus, that is, convulsions after birth?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_malaria_tablet_during_pregnancy,birth_part_1,,radio,"During this pregnancy, were you given a tablet to prevent malaria?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_malaria_tablet_frequency,birth_part_1,,text,"=> If yes, how many times were you given this tablet?",,,integer,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_malaria_tablet_during_pregnancy] = '1'),y,RH,,,,
f7_malaria_tablet_frequency_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_malaria_tablet_during_pregnancy] = '1' and [f7_malaria_tablet_frequency] = """")",y,RH,,,,
f7_insecticide_mosquito_net,birth_part_1,,yesno,Was an insecticide-treated mosquito net issued?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_sleep_under_net,birth_part_1,,radio,"=> If yes, did you sleep under this net?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_insecticide_mosquito_net] = '1'),y,RH,,,,
f7_gdm_screening,birth_part_1,,dropdown,Was the woman screened for GDM?,"1, Yes | 0, No | 98, Not Applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_gdm_clinical_diagnosis,birth_part_1,,radio,"=> If yes, did she receive a clinical diagnosis of GDM?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_gdm_screening] = '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> ''))),y,RH,,,,
f7_gdm_treatment,birth_part_1,,dropdown,"=> If yes, how was this treated?","1, Diet | 2, Medication | 3, Not treated | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_gdm_screening] = '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> ''))),y,RH,,,,
f7_fhr_measured,birth_part_1,,radio,Was the fetal heart rate measured on admission to facility?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_fhr_audibility,birth_part_1,,radio,"=> If yes, was the FHR heard?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_fhr_measured] = '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> ''))),y,RH,,,,
f7_fhr_measurement_tools,birth_part_1,,dropdown,"==> If yes, what was used?","1, Pinard | 2, Doptone | 3, Cardiotocography | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_fhr_audibility] = '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> ''))),y,RH,,,,
f7_investigations_hb_conc,birth_part_1,"Investigations  <br><span style='color: blue'><span style='background:yellow'>When you complete this section, please go to the laboratory test tab to fill in the results</span>",dropdown,Was the woman's haemoglobin concentration measured? (hemocue),"1, Yes | 0, No | 97, Unavailable | 2, Not tested | 98, Not applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_investigations_wcc,birth_part_1,,dropdown,Was the woman's WCC tested?,"1, Yes | 0, No | 97, Unavailable | 2, Not tested | 98, Not applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_investigations_platelets,birth_part_1,,dropdown,Was the woman's platelet count tested?,"1, Yes | 0, No | 98, Not Applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_investigations_serum_creatinine,birth_part_1,,dropdown,Was the woman's serum creatinine level tested?,"1, Yes | 0, No | 98, Not Applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_investigations_ast,birth_part_1,,dropdown,Was the woman's aspartate transaminase tested?,"1, Yes | 0, No | 98, Not Applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_investigations_alt,birth_part_1,,dropdown,Was the woman's alanine aminotransferase tested?,"1, Yes | 0, No | 98, Not Applicable | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_lab_reminder,birth_part_1,,descriptive,"<span style=""color:blue"">If you indicated ""yes"" to any of the questions about blood tests, please remember to navigate to the Laboratory tile to fill out the results</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1',,RH,,,,
f7_delivery_num_of_babies,birth_part_1,Delivery,text,Please indicate the number of baby(ies) in this pregnancy,,,integer,0,5,,[profile_summary_arm_1][f2a_cohort] <> '1',y,RH,,,,
f7_delivery_attendant_presence,birth_part_1,,radio,Was an attendant at the delivery?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_delivery_attendant_doctor,birth_part_1,,yesno,=>  Did the doctor attend the delivery?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_attendant_presence] = '1'),y,RH,,,,
f7_delivery_attendant_midwife,birth_part_1,,yesno,=>  Did the midwife attend the delivery?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_attendant_presence] = '1'),y,RH,,,,
f7_delivery_attendant_nurse,birth_part_1,,yesno,=>  Did the nurse attend the delivery?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_attendant_presence] = '1'),y,RH,,,,
f7_delivery_attendant_health_workers,birth_part_1,,yesno,=>  Did the community health workers attend the delivery?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_attendant_presence] = '1'),y,RH,,,,
f7_delivery_birth_attendant,birth_part_1,,yesno,=>  Did the traditional birth attendant attend the delivery?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_attendant_presence] = '1'),y,RH,,,,
f7_delivery_attendant_family,birth_part_1,,yesno,=>  Did the family member attend the delivery?,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_attendant_presence] = '1'),y,RH,,,,
f7_delivery_initiation,birth_part_1,,dropdown,How was the delivery initiated?,"1, Spontaneous onset of labour | 2, Caregiver-initiated by labour induction | 3, Caregiver-initiated by elective Caesarean | 4, Caregiver-initiated by emergency Caesarean | 5, Caregiver-initiated by termination of pregnancy | 6, Woman died undelivered | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_delivery_fetal_indication,birth_part_1,,yesno,"=> If caregiver-initiated by any method, was it fetal indication?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2' or [f7_delivery_initiation] = '3' or [f7_delivery_initiation] = '4' or [f7_delivery_initiation] = '5'),y,RH,,,,
f7_delivery_fetal_indication_specify,birth_part_1,,text,==> Please specify,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_fetal_indication] = '1'),y,RH,,,,
f7_delivery_maternal_indication,birth_part_1,,yesno,"=> If caregiver-initiated by any method, was it maternal indication? (including trauma)",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2' or [f7_delivery_initiation] = '3' or [f7_delivery_initiation] = '4' or [f7_delivery_initiation] = '5'),y,RH,,,,
f7_delivery_maternal_indication_specify,birth_part_1,,text,==> Please specify,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_maternal_indication] = '1'),y,RH,,,,
f7_delivery_fetal_maternal_indication,birth_part_1,,yesno,"=> If caregiver-initiated by any method, was it fetal and maternal indication?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2' or [f7_delivery_initiation] = '3' or [f7_delivery_initiation] = '4' or [f7_delivery_initiation] = '5'),y,RH,,,,
f7_delivery_unknown_indication,birth_part_1,,yesno,"=> If caregiver-initiated by any method, was the indication unknown?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2' or [f7_delivery_initiation] = '3' or [f7_delivery_initiation] = '4' or [f7_delivery_initiation] = '5'),y,RH,,,,
f7_delivery_vaginal_prostaglandins,birth_part_1,,yesno,"=> If labour was induced, was the method vaginal prostaglandins used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_balloon_catheter,birth_part_1,,yesno,"=> If labour was induced, was the method balloon catheter used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_oral_misoprostol,birth_part_1,,yesno,"=> If labour was induced, was the method oral misoprostol used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_vaginal_misoprostol,birth_part_1,,yesno,"=> If labour was induced, was the method vaginal misoprostol used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_amniotomy,birth_part_1,,yesno,"=> If labour was induced, was the method amniotomy used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_oxytocin,birth_part_1,,yesno,"=> If labour was induced, was the method intravenous oxytocin used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_other_method,birth_part_1,,yesno,"=> If labour was induced, was other method used?",,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_initiation] = '2'),y,RH,,,,
f7_delivery_labour_induction_method_other,birth_part_1,,text,==> Please specify,,,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_delivery_other_method] = '1'),y,RH,,,,
f7_before_bp,birth_part_1,Monitoring Before Birth,radio,"During the admission and before birth, was the woman's BP checked?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_before_highest_sbp,birth_part_1,,text,"=> If yes, what was the highest systolic BP?",,,integer,50,300,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1'),y,RH,,,,
f7_before_highest_sbp_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1' and [f7_before_highest_sbp] = """")",y,RH,,,,
f7_before_highest_dbp,birth_part_1,,text,"=> If yes, what was the highest diastolic BP?",,,integer,35,140,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1'),y,RH,,,,
f7_before_highest_dbp_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1' and [f7_before_highest_dbp] = """")",y,RH,,,,
f7_before_lowest_sbp,birth_part_1,,text,"=> If yes, what was the lowest systolic BP?",,,integer,50,300,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1'),y,RH,,,,
f7_before_lowest_sbp_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1' and [f7_before_lowest_sbp] = """")",y,RH,,,,
f7_before_lowest_dbp,birth_part_1,,text,"=> If yes, what was the lowest diastolic BP?",,,integer,35,140,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1'),y,RH,,,,
f7_before_lowest_dbp_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_bp] = '1' and [f7_before_lowest_dbp] = """")",y,RH,,,,
f7_before_urinary_protein,birth_part_1,,radio,"During the admission and before birth, was the woman's urinary protein checked?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_before_urinary_dipstick,birth_part_1,,dropdown,"=> If yes, what was the highest documented level of proteinuria for each of the following methods: urinary dipstick (in + protein)","1, Neg/trace | 2, 1+ or 0.3 g/L | 3, 2+ or 1 g/L | 4, 3+ or >=3 g/L | 5, Not done",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_urinary_protein] = '1'),y,RH,,,,
f7_before_protein_creatinine,birth_part_1,,text,=> protein:creatinine ratio (in g/mol),,,number,0,30,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_urinary_protein] = '1'),y,RH,,,,
f7_before_24hr_urinary_protein,birth_part_1,,text,=> 24hr urinary protein (g/d),,,number,0,0.3,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_urinary_protein] = '1'),y,RH,,,,
f7_before_maternal_temperature,birth_part_1,,radio,"During the admission and before birth, was the mother's temperature checked?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_before_highest_maternal_temp_c,birth_part_1,,text,=> What was the highest maternal temperature? (°C),,,number,35,42,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_maternal_temperature] = '1'),y,RH,,,,
f7_before_highest_maternal_temp_dk,birth_part_1,,yesno,=> Don't know highest maternal temperature,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_maternal_temperature] = '1' and ([f7_before_highest_maternal_temp_c] = """"))",y,RH,,,,
f7_before_lowest_maternal_temp_c,birth_part_1,,text,"=> If yes, what was the lowest maternal temperature? (°C)",,,number,35,42,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_maternal_temperature] = '1'),y,RH,,,,
f7_before_lowest_maternal_temp_dk,birth_part_1,,yesno,=> Don't know lowest maternal temperature,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_maternal_temperature] = '1' and ([f7_before_lowest_maternal_temp_c] = """"))",y,RH,,,,
f7_before_hr,birth_part_1,,radio,"During the admission and before birth, was the mother's HR checked?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_before_highest_hr,birth_part_1,,text,"=> If yes, what was the highest HR?",,,integer,50,110,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_hr] = '1'),y,RH,,,,
f7_before_highest_hr_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_hr] = '1' and [f7_before_highest_hr] = """")",y,RH,,,,
f7_before_rr,birth_part_1,,radio,"During the admission and before birth, was the mother's respiratory rate checked?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_before_highest_rr,birth_part_1,,text,"=> If yes, what was the highest respiratory rate?",,,integer,10,30,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_rr] = '1'),y,RH,,,,
f7_before_highest_rr_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_rr] = '1' and [f7_before_highest_rr] = """")",y,RH,,,,
f7_before_lowest_rr,birth_part_1,,text,"=> If yes, what was the lowest respiratory rate?",,,integer,10,30,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_rr] = '1'),y,RH,,,,
f7_before_lowest_rr_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_rr] = '1' and [f7_before_lowest_rr] = """")",y,RH,,,,
f7_before_oxygen_saturation,birth_part_1,,radio,"During the admission and before birth, was the mother's oxygen saturation checked?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_before_lowest_oxygen_saturation,birth_part_1,,text,"=> If yes, what was the lowest oxygen saturation?",,,integer,80,100,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_oxygen_saturation] = '1'),y,RH,,,,
f7_before_lowest_oxygen_saturation_dk,birth_part_1,,yesno,=> Don't know,,,,,,,"[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_oxygen_saturation] = '1' and [f7_before_lowest_oxygen_saturation] = """")",y,RH,,,,
f7_before_oxygen_saturation_percent,birth_part_1,,radio,"=> If yes, was the oxygen saturation <90% for at least 60 min?","1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and ([f7_before_oxygen_saturation] = '1'),y,RH,,,,
f7_before_hb_conc,birth_part_1,,radio,During the admission and before birth was the woman's haemoglobin concentration checked?,"1, Yes | 0, No | 99, Don't know",,,,,,[profile_summary_arm_1][f2a_cohort] <> '1' and (([f7_mz_district_hospital] <> '90' and [f7_mz_district_hospital] <> '99' and [f7_mz_district_hospital] <> '')),y,RH,,,,
f7_17_not_needed,birth_part_1,System,descriptive," <span style=""background:yellow""> <span style=""color:red"">This form is not required for this woman.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] = '1',,RH,,,,
