field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
f2a_participant_id,profile_summary,,text,Participant ID (format: 254-#####) (Country Code - Woman ID),,,,,,,,y,RH,,,,
f2a_cohort,profile_summary,Profile,dropdown,Cohort,"1, 1 - Non-pregnant women of reproductive age (WRA) | 2, 2 - Unselected pregnant women (UNS) | 3, 3 - Time of Disease (ToD) - HTN/FGR | 4, 4 - Time of Disease (ToD) - IUFD/SB | 5, 5 - Post-partum Time of Disease (ToD) - IUFD/SB",,,,,,,y,RH,,,,
f2a_full_name,profile_summary,,text,Full Name,,,,,,y,,y,RH,,,,
f2a_national_id,profile_summary,,text,National ID,,,,,,y,,y,RH,,,,
f2a_hdss,profile_summary,,text,HDSS,,,,,,y,,y,RH,,,,
f2a_reminder,profile_summary,,descriptive,"<span style=""color:blue;font-size:1.1em"">Please confirm the contact information is up-to-date.</span>",,,,,,,,,RH,,,,
f2a_phone,profile_summary,,dropdown,Is there a mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone] > '0',y,RH,,,,
f2a_phone_2,profile_summary,,dropdown,Is there another mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number_2,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone_2] > '0',y,RH,,,,
f2a_sum_ga_today,profile_summary,Summary,calc,"<span style=""color:red""><span style=""background:gold"">Gestational age at today","round((datediff([f2_visit_date],""today"",""d"",""ymd"",true) + round(if([f6a_ga_enrol]>0, [f6a_ga_enrol], [f6a_ga_consent])*7,0))/7,2)",weeks,,,,,,,,,,,@READONLY
f2a_sum_weeks_visit1_to_today,profile_summary,,calc,"<span style=""color:red""><span style=""background:gold"">Number of weeks between PRECISE Visit 1 and Today</span>","round(datediff([f2_visit_date],""today"",""d"",""ymd"",true)/7,2)",weeks,,,,,,,,,,,@READONLY
f2a_sum_desc_start_visit2,profile_summary,,descriptive,"<span style=""color:red"">PRECISE Visit 2 is not done yet.  Please start with PRECISE Visit 2 today if she has not given birth yet.</span>",,,,,,,[f2a_cohort] > 1 and [f2a_cohort] < '4' and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,,,,,
f2a_sum_desc_start_visit2_2,profile_summary,,descriptive,"<span style=""color:blue"">PRECISE Visit 2 is not done yet, but it appears she has given birth.</span>",,,,,,,[f2a_cohort] > 1 and [f2a_cohort] < 4 and [f2a_sum_ga_birth_visit] >0 and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,,,,,
f2a_sum_desc_start_anc_2,profile_summary,,descriptive,"<span style=""color:red"">Warning: The PRECISE Visit 2 should occur on or after 4 weeks (or 28 days) + [f2_visit_date] <b>AND</b> reach at least 28 weeks of gestation. <br/>
It is [f2a_sum_weeks_visit1_to_today] weeks away from PRECISE Visit 1 and today's gestational age is [f2a_sum_ga_today_week] weeks + [f2a_sum_ga_today_day] day(s).  If you want to complete PRECISE Visit 2 today, please ensure it is justified.</span>",,,,,,,[f2a_cohort] > 1 and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and ([f2a_sum_ga_today] <28 or ([f2a_sum_weeks_visit1_to_today]>=0.1 and [f2a_sum_weeks_visit1_to_today] <4)),,,,,,
f2a_sum_desc_start_postpartum,profile_summary,,descriptive,"<span style=""color:red"">The participant has given birth.  Please check and ensure both mother and baby information have been collected.</span>",,,,,,,[f2a_sum_ga_birth_visit] >0,,,,,,
f2a_sum_visit1_date,profile_summary,,descriptive,"<span style=""color:blue;font-weight:bold"">Date of PRECISE Visit 1: <span style=""padding-left:30%""> [f2_visit_date] </span></span>
",,,,,,,,,,,,,
f2a_sum_ga_prc_visit1,profile_summary,,calc,Gestational age at PRECISE Visit 1,"if([f6a_ga_enrol]>0, [f6a_ga_enrol], [f6a_ga_consent])",weeks,,,,,,,,,,,@READONLY
f2a_sum_min_visit2_date,profile_summary,,descriptive,Minimum PRECISE Visit 2 Date: <span style=color:blue> 28 days after this date [f2_visit_date]  <span style=color:red>AND</span> at least 28 weeks of gestation</span>,,,,,,,[f2a_cohort] > 1,,,,,,
f2a_sum_visit2_date,profile_summary,,text," <span style=""color:blue"">Date of PRECISE Visit 2",,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_ga_prc_visit2,profile_summary,,text,Gestational age at PRECISE Visit 2,,weeks  (should be on or after 28 weeks),number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_wks_prcv1_to_prcv2,profile_summary,,text,Number of weeks from PRECISE Visit 1 to Visit 2,,weeks (should be at least 4 weeks apart),number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_nonprecise_visit_num,profile_summary,,text,Number of ToD-ANC Visits:,,,number,,,,,,,,,,@READONLY
f2a_sum_last_anc_visit_date1,profile_summary,,text,-- 1) Date of last ToD-ANC Visit : ,,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_last_anc_visit_date2,profile_summary,,text,-- 2) Date of last ToD-ANC Visit : ,,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_last_anc_visit_date3,profile_summary,,text,-- 3) Date of last ToD-ANC Visit : ,,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_ga_birth_visit,profile_summary,,text,Gestational age at Birth Visit,,weeks,number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_delivery_date,profile_summary,,text," <span style=""color:blue"">Delivery Date",,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_ga_at_delivery,profile_summary,,text,Gestational age at Delivery,,weeks,number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_num_babies,profile_summary,,text,Number of babies:,,,number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_pp_date,profile_summary,,text,"<span style=""color:blue"">Date of Postpartum Visit",,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_ltfu_withdrawal,profile_summary,,calc," <span style=""background:yellow""> <span style=""color:blue"">Lost to followup or withdrawal</span>","if([fw_withdraw_from_study]  = '1' or [fw_lost_to_followup] = '1', 1, 0)","1 = Yes, 0 = No",,,,,,,,,,,@READONLY
f2a_sum_tod_eligibility,profile_summary,,calc,"<span style=""color: #B0B0B0""><i>ToD Eligibility (at Visit 1 only)</i></span>","if([f6a_tod_hypertension_cohort] = '1' or [f6a_tod_stillbirth_cohort] = '1' or [f6a_tod_fgr_cohort] = '1', 1, 0)","1 = Yes, 0 = No",,,,,,,,,,,@READONLY
f2a_sum_tod_eligibility_anc,profile_summary,,text,"<span style=""color: #B0B0B0""><i>ToD Eligibility (at Visit 2 or ToD-ANC)</i></span>",,,number,,,,,,,,,,@READONLY
f2a_sum_tod_eligibility_birth,profile_summary,,text,"<span style=""color: #B0B0B0""><i>ToD Eligibility (at birth)</i></span>",,,number,,,,,,,,,,@READONLY
f2a_2_app_username,profile_summary,,text,Mobile app username:,,,,,,,,,,,,,@APPUSERNAME-APP @READONLY @HIDDEN-APP
f2a_2_system_datetime,profile_summary,,text,<span style='color:grey'>Tablet System Date<span>,,default tablet system date,datetime_ymd,,,,,,,,,,@NOW @READONLY @HIDDEN-APP @HIDEBUTTON
f2_profile_reminder,general_info,,descriptive,"<span style=""color:blue""><span style=""font-size:1.2em"">Please confirm the woman's contact information on the Profile form if you haven't done so.</span>",,,,,,,,,RH,,,,
f2_visit_date,general_info,,text,Visit Date,,,date_ymd,,,,([f2a_cohort] > '1' and [f2a_cohort] < '4') or ([f2a_cohort] = '1' and ([f2_visit_date] = [f2_visit_date])) or ([f2a_cohort] >= '4' and [f2_visit_date] <> [f2_visit_date]),y,RH,,,,
f2_ga_at_visit,general_info,,calc,<span style='color: grey'>Gestational age at this visit (Autopopulated)</span>,"if([f2a_cohort] > 1, [f6a_ga_enrol],'')",weeks,,,,,[f2a_cohort] > 1,,RH,,,,
f2_ga_at_visit_message,general_info,,descriptive,"<span style=""color:blue"">GA at visit should be less than 43+0 weeks.</span>",,,,,,,[f2a_cohort] > 1 and ([f2_ga_at_visit]<4 or [f2_ga_at_visit]>43),,RH,,,,
f2_interviewer_id,general_info,General Visit Information,text,Interviewer/data collector ID,,,,,,,,y,RH,,,,
f2_ke_health_facility,general_info,,radio,(KE) What is the name of the health facility where the woman is being seen?,"2541, Rabai | 2542, Mariakani",,,,,,,y,RH,,,,
f2_woman_addr,general_info,,text,What is the address of where you currently live?,,,,,,,,y,RH,,,,
f2_ke_county,general_info,,radio,(KE) What is the County where you currently live?,"1, Kilifi | 90, Other",,,,,,,y,RH,,,,
f2_ke_county_other_name,general_info,,text,(KE) Name of other County,,,,,,,[f2_ke_county] = '90',y,RH,,,,
f2_ke_county_dk,general_info,,yesno,(KE) Don't know County?,,,,,,,[f2_ke_county] = ''  and [f2_ke_county_other_name] = '',y,RH,,,,
f2_ke_sub_county_kilifi,general_info,,radio,(KE) What is the Sub County where you currently live in Kilifi?,"1, KALOLENI | 2, RABAI",,,,,,[f2_ke_county] = '1',y,RH,,,,
f2_ke_sub_county_other,general_info,,yesno,(KE) Other Sub County?,,,,,,,[f2_ke_sub_county_kilifi]='' or [f2_ke_county] <> '1',y,RH,,,,
f2_ke_sub_county_other_name,general_info,,text,(KE) Name of other Sub County?,,,,,,,[f2_ke_sub_county_other] = '1',y,RH,,,,
f2_ke_sub_county_dk,general_info,,yesno,(KE) Don't know Sub County?,,,,,,,([f2_ke_sub_county_kilifi]='' and [f2_ke_sub_county_other] <> '0' and [f2_ke_sub_county_other_name] = '') or [f2_ke_county] <> '1',y,RH,,,,
f2_ke_link_facility_kaloleni,general_info,,dropdown,(KE) What is the Link Facility of where you currently live in KALOLENI?,"1, KINARANI_DISPENSARY | 2, MGAMBONI_DISPENSARY | 3, TSANGATSINI_DISPENSARY | 4, VIRAGONI_DISPENSARY | 5, VISHAKANI_DISPENSARY | 6, GOTANI_HEALTH_CENTE | 7, JIBANA_HOSPITAL | 8, JIBANA | 9, CHALANI_DISPENSARY | 10, MARIAKANI_DISTRICT_HOSPITAL | 11, MAKOMBOANI_DISPENSARY",,,,,,[f2_ke_sub_county_kilifi]='1',y,RH,,,,
f2_ke_link_facility_rabai,general_info,,dropdown,(KE) What is the Link Facility of where you currently live in RABAI?,"1, KOMBENI_DISPENSARY | 2, Rabai_Health_Centre | 3, RIBE_DISPENSARY | 4, MAKANZANI_DISPENSARY | 5, RABAI_DISPENSARY | 6, KOKOTONI_DISPENSARY | 7, MITSAJENI_DISPENSARY | 8, KAMBE | 9, BWAGAMOYO_DISPENSARY | 10, LENGA_DISPENSARY",,,,,,[f2_ke_sub_county_kilifi]='2',y,RH,,,,
f2_ke_link_facility_other,general_info,,yesno,(KE) Other Link Facility?,,,,,,,([f2_ke_sub_county_kilifi]='') or ([f2_ke_link_facility_kaloleni]='' and [f2_ke_link_facility_rabai]='') or [f2_ke_county] <> '1',y,RH,,,,
f2_ke_link_facility_other_name,general_info,,text,(KE) Name of other Link Facility Locality,,,,,,,[f2_ke_link_facility_other]='1',y,RH,,,,
f2_ke_link_facility_dk,general_info,,yesno,(KE) Don't know Link Facility?,,,,,,,([f2_ke_sub_county_kilifi]='') or ([f2_ke_link_facility_kaloleni]='' and [f2_ke_link_facility_rabai]='' and [f2_ke_link_facility_other] <> '0' and [f2_ke_link_facility_other_name] = '') or [f2_ke_county] <> '1',y,RH,,,,
f2_ke_chu_kinarani_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in KINARANI_DISPENSARY?,"1, KIBWABWANI | 2, MUTSENGO",,,,,,[f2_ke_link_facility_kaloleni] = '1',y,RH,,,,
f2_ke_chu_mgamboni_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in MGAMBONI_DISPENSARY?,"1, KWALE",,,,,,[f2_ke_link_facility_kaloleni] = '2',y,RH,,,,
f2_ke_chu_tsangatsini_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in TSANGATSINI_DISPENSARY?,"1, TSANGATSINI | 2, MNYENZENI",,,,,,[f2_ke_link_facility_kaloleni] = '3',y,RH,,,,
f2_ke_chu_viragoni_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in VIRAGONI_DISPENSARY?,"1, MNAZIMWENGA | 2, VIRAGONI",,,,,,[f2_ke_link_facility_kaloleni] = '4',y,RH,,,,
f2_ke_chu_vishakani_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in VISHAKANI_DISPENSARY?,"1, VISHAKANI",,,,,,[f2_ke_link_facility_kaloleni] = '5',y,RH,,,,
f2_ke_chu_gotani_health_center,general_info,,radio,(KE) What is the CHU of where you currently live in GOTANI_HEALTH_CENTE,"1, GOTANI | 2, MBALAMWENI | 3, MRIMANI",,,,,,[f2_ke_link_facility_kaloleni] = '6',y,RH,,,,
f2_ke_chu_jibana_hospital,general_info,,radio,(KE) What is the CHU of where you currently live in JIBANA_HOSPITAL,"1, TSAGWA",,,,,,[f2_ke_link_facility_kaloleni] = '7',y,RH,,,,
f2_ke_chu_jibana,general_info,,radio,(KE) What is the CHU of where you currently live in JIBANA,"1, NYALANI",,,,,,[f2_ke_link_facility_kaloleni] = '8',y,RH,,,,
f2_ke_chu_chalani_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in CHALANI_DISPENSARY,"1, CHALANI | 2, MWAMLEKA | 3, CHILULU | 4, MIKIRIANI",,,,,,[f2_ke_link_facility_kaloleni] = '9',y,RH,,,,
f2_ke_chu_mariakani_district_hospital,general_info,,radio,(KE) What is the CHU of where you currently live in MARIAKANI_DISTRICT_HOSPITAL,"1, MADZIMBANI | 2, MWARENI",,,,,,[f2_ke_link_facility_kaloleni] = '10',y,RH,,,,
f2_ke_chu_makomboani_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in MAKOMBOANI_DISPENSARY,"1, MAKOMBOANI",,,,,,[f2_ke_link_facility_kaloleni] = '11',y,RH,,,,
f2_ke_chu_kombeni_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in KOMBENI_DISPENSARY?,"1, KOMBENI",,,,,,[f2_ke_link_facility_rabai] = '1',y,RH,,,,
f2_ke_chu_rabai_health_centre,general_info,,radio,(KE) What is the CHU of where you currently live in Rabai_Health_Centre?,"1, BUNI | 2, MWELE-KISURUTINI",,,,,,[f2_ke_link_facility_rabai] = '2',y,RH,,,,
f2_ke_chu_ribe_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in RIBE_DISPENSARY,"1, RIBE",,,,,,[f2_ke_link_facility_rabai] = '3',y,RH,,,,
f2_ke_chu_makanzani_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in MAKANZANI_DISPENSARY,"1, MIKOMANI",,,,,,[f2_ke_link_facility_rabai] = '4',y,RH,,,,
f2_ke_chu_rabai_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in RABAI_DISPENSARY,"1, MAZERA",,,,,,[f2_ke_link_facility_rabai] = '5',y,RH,,,,
f2_ke_chu_kokotoni_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in KOKOTONI_DISPENSARY,"1, KALIANGOMBE",,,,,,[f2_ke_link_facility_rabai] = '6',y,RH,,,,
f2_ke_chu_mitsajeni_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in MITSAJENI_DISPENSARY,"1, MITSAJENI",,,,,,[f2_ke_link_facility_rabai] = '7',y,RH,,,,
f2_ke_chu_kambe,general_info,,radio,(KE) What is the CHU of where you currently live in KAMBE,"1, KAMBE",,,,,,[f2_ke_link_facility_rabai] = '8',y,RH,,,,
f2_ke_chu_bwagamoyo_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in BWAGAMOYO_DISPENSARY,"1, KANYUMBUNI | 2, MWAMTSUNGA | 3, MIKAHANI",,,,,,[f2_ke_link_facility_rabai] = '9',y,RH,,,,
f2_ke_chu_lenga_dispensary,general_info,,radio,(KE) What is the CHU of where you currently live in LENGA_DISPENSARY,"1, JEURI",,,,,,[f2_ke_link_facility_rabai] = '10',y,RH,,,,
f2_ke_chu_other,general_info,,yesno,(KE) Other CHU?,,,,,,,([f2_ke_sub_county_kilifi]='') or  ([f2_ke_link_facility_kaloleni]='' and [f2_ke_link_facility_rabai]='') or ([f2_ke_chu_kinarani_dispensary] = '' and [f2_ke_chu_mgamboni_dispensary] = '' and [f2_ke_chu_tsangatsini_dispensary] = '' and [f2_ke_chu_viragoni_dispensary] = '' and [f2_ke_chu_vishakani_dispensary] = '' and [f2_ke_chu_kombeni_dispensary] = '' and [f2_ke_chu_rabai_health_centre] = '' and [f2_ke_chu_gotani_health_center] = '' and [f2_ke_chu_jibana_hospital] = '' and [f2_ke_chu_jibana] = '' and [f2_ke_chu_chalani_dispensary] = '' and [f2_ke_chu_mariakani_district_hospital] = '' and [f2_ke_chu_makomboani_dispensary] = '' and [f2_ke_chu_ribe_dispensary] = '' and [f2_ke_chu_makanzani_dispensary] = '' and [f2_ke_chu_rabai_dispensary] = '' and [f2_ke_chu_kokotoni_dispensary] = '' and [f2_ke_chu_mitsajeni_dispensary] = '' and [f2_ke_chu_kambe] = '' and [f2_ke_chu_bwagamoyo_dispensary] = '' and [f2_ke_chu_lenga_dispensary] = '') or [f2_ke_county] <> '1',y,RH,,,,
f2_ke_chu_other_name,general_info,,text,(KE) Name of other CHU,,,,,,,[f2_ke_chu_other] = '1',y,RH,,,,
f2_ke_chu_dk,general_info,,yesno,(KE) Don't know CHU?,,,,,,,([f2_ke_sub_county_kilifi]='') or ([f2_ke_link_facility_kaloleni]='' and [f2_ke_link_facility_rabai]='') or ([f2_ke_chu_kinarani_dispensary] = '' and [f2_ke_chu_mgamboni_dispensary] = '' and [f2_ke_chu_tsangatsini_dispensary] = '' and [f2_ke_chu_viragoni_dispensary] = '' and [f2_ke_chu_vishakani_dispensary] = '' and [f2_ke_chu_kombeni_dispensary] = '' and [f2_ke_chu_rabai_health_centre] = '' and [f2_ke_chu_gotani_health_center] = '' and [f2_ke_chu_jibana_hospital] = '' and [f2_ke_chu_jibana] = '' and [f2_ke_chu_chalani_dispensary] = '' and [f2_ke_chu_mariakani_district_hospital] = '' and [f2_ke_chu_makomboani_dispensary] = '' and [f2_ke_chu_ribe_dispensary] = '' and [f2_ke_chu_makanzani_dispensary] = '' and [f2_ke_chu_rabai_dispensary] = '' and [f2_ke_chu_kokotoni_dispensary] = '' and [f2_ke_chu_mitsajeni_dispensary] = '' and [f2_ke_chu_kambe] = '' and [f2_ke_chu_bwagamoyo_dispensary] = '' and [f2_ke_chu_lenga_dispensary] = '' and [f2_ke_chu_other] <> '0' and [f2_ke_chu_other_name] = '') or [f2_ke_county] <> '1',y,RH,,,,
f2_ke_vfg_kibwabwani,general_info,,dropdown,(KE) What is the Village of where you currently live in KIBWABWANI?,"1, KADZTSONI | 2, KAKOMANI | 3, KIBWABWANI | 4, KILONGA | 5, KINARANI | 6, MAZIACHENDA | 7, MIGWALENI | 8, MWAMLEKA",,,,,,[f2_ke_chu_kinarani_dispensary]='1',y,RH,,,,
f2_ke_vfg_mutsengo,general_info,,dropdown,(KE) What is the Village of where you currently live in MUTSENGO?,"1, BIKIDZAYA | 2, HADEMU | 3, KAMBITSI | 4, KIRONGO | 5, KITHENGWANI | 6, KIZIZINI | 7, MAORO | 8, MUTSENGO | 9, NGULUWENI | 10, TSHAKATUNE | 11, ZIARATSONGO",,,,,,[f2_ke_chu_kinarani_dispensary]='2',y,RH,,,,
f2_ke_vfg_kwale,general_info,,dropdown,(KE) What is the Village of where you currently live in KWALE?,"1, BIRYA | 2, KWALE | 3, MAANDANI | 4, MAJENGO | 5, MANGUJA | 6, MGAMBONI | 7, MKAHUNI | 8, MWANDAZA | 9, NGAMANI | 10, WALEA-K",,,,,,[f2_ke_chu_mgamboni_dispensary]='1',y,RH,,,,
f2_ke_vfg_tsangatsini,general_info,,dropdown,(KE) What is the Village of where you currently live in TSANGATSINI?,"1, BWAGA | 2, GURUGURU_1 | 3, GURUGURU_2 | 4, KARIMANI_1 | 5, KARIMANI_2 | 6, MATSAVINI_1 | 7, MATSAVINI_2 | 8, MBONGO_1 | 9, MBONGO_2 | 10, MBONGO_3 | 11, MKULUNI | 12, MWEZA | 13, MZINZI_1 | 14, MZINZI_2 | 15, NDATANI_1 | 16, NDATANI_2 | 17, NDATANI_3 | 18, NDATANI_4 | 19, NYAHINI_1 | 20, NYAHINI_2 | 21, THOROVENI | 22, TSANGATSINI_1 | 23, TSANGATSINI_2 | 24, TSANGATSINI_3",,,,,,[f2_ke_chu_tsangatsini_dispensary]='1',y,RH,,,,
f2_ke_vlg_mnyenzeni,general_info,,dropdown,(KE) What is the Village of where you currently live in MNYENZENI,"1, TIMBONI | 2, MIKOBACHENDA | 3, NYORE | 4, MTIRINI | 5, ZIARACHE_2 | 6, MSOLONI | 7, KARIMBO_2 | 8, MIKOBACHENDA_EAST | 9, MNYENZENI | 10, ZHENGONI",,,,,,[f2_ke_chu_tsangatsini_dispensary]='2',y,RH,,,,
f2_ke_vfg_mnazimwenga,general_info,,dropdown,(KE) What is the Village of where you currently live in MNAZIMWENGA?,"1, BENGONI | 2, IKANGA | 3, KINANGO | 4, MATOLANI | 5, MDZIMURE | 6, MNAZIMWENGA | 7, MTULU",,,,,,[f2_ke_chu_viragoni_dispensary]='1',y,RH,,,,
f2_ke_vfg_viragoni,general_info,,dropdown,(KE) What is the Village of where you currently live in VIRAGONI?,"1, JORORE | 2, KABATHENI | 3, KANYALANI | 4, KATSUNGWINI | 5, MIZAHENI | 6, VIRAGONI",,,,,,[f2_ke_chu_viragoni_dispensary]='2',y,RH,,,,
f2_ke_vfg_vishakani,general_info,,dropdown,(KE) What is the Village of where you currently live in VISHAKANI?,"1, CHANDANI | 2, KALOLENI_CENTRE | 3, KIBOJONI | 4, KITYEGE | 5, KIZURINI | 6, MIKOMANI | 7, MILALANI | 8, NGOME | 9, TSAKALOROVU | 10, VIKINDANI | 11, VISHAKANI | 12, WALEA-V | 13, ZIZIMO",,,,,,[f2_ke_chu_vishakani_dispensary]='1',y,RH,,,,
f2_ke_vfg_kombeni,general_info,,dropdown,(KE) What is the Village of where you currently live in KOMBENI?,"1, BATANI | 2, BATANI_ASILI | 3, BOFU | 4, CHITULU_CHA_MWABAYA | 5, JIMBA_A | 6, JIMBA_B | 7, JIMBA_MISSION | 8, JIMBA_MSKITINI | 9, KALIANGOMBE_A | 10, KALIANGOMBE_B | 11, KWA_KIJALA | 12, LUTSANGANI | 13, MIYUNI",,,,,,[f2_ke_chu_kombeni_dispensary]='1',y,RH,,,,
f2_ke_vfg_buni,general_info,,dropdown,(KE) What is the Village of where you currently live in BUNI?,"1, BONJE | 2, BUNI-KIBAONI_A | 3, BUNI-KIBAONI_B | 4, BUNI-KISWARINI | 5, JITENGE | 6, KIPEVU-MBAA | 7, LA-MWAJOHA | 8, MUUNGANO-SABA | 9, MWANZAGU | 10, MWATSAMA",,,,,,[f2_ke_chu_rabai_health_centre]='1',y,RH,,,,
f2_ke_vfg_mwele_kisurutini,general_info,,dropdown,(KE) What is the Village of where you currently live in MWELE-KISURUTINI?,"1, BENGO-MWARENI | 2, KAILO-MNYALANI | 3, KISURUTINI-BUKINI | 4, KOLONGONI | 5, MAUNGONI-VUGA | 6, MBARAKANI_A | 7, MBARAKANI_B | 8, MWELE_A | 9, MWELE_B | 10, SIMAKENI_A | 11, SIMAKENI_B",,,,,,[f2_ke_chu_rabai_health_centre]='2',y,RH,,,,
f2_ke_vlg_gotani,general_info,,dropdown,(KE) What is the Village of where you currently live in GOTANI,"1, GOTANI_A | 2, GOTANI_B | 3, KAKONENI | 4, KAKONENI_A | 5, KAKONENI_B | 6, KATSANGANI | 7, KATSANGANI_NORTH | 8, KATSANGANI_SOUTH | 9, KINAGONI_CENTRAL | 10, KIRUMBI_A | 11, KIRUMBI_B | 12, KIRUMBI_C | 13, MIGWALENI-G | 14, MIGWALENI_A | 15, MWANDA-G | 16, MWANGANI_A | 17, MWANGANI_B | 18, NZOWENI_A | 19, NZOWENI_B | 20, NZOWENI_C",,,,,,[f2_ke_chu_gotani_health_center] ='1',y,RH,,,,
f2_ke_vlg_mbalamweni,general_info,,dropdown,(KE) What is the Village of where you currently live in MBALAMWENI,"1, GANDINI | 2, GOGORANI | 3, GOGORARUCHE | 4, KIBAO_KICHE_A | 5, KIBAO_KICHE_B | 6, KIDZINI_NORTH | 7, KIDZINI_SOUTH | 8, MWANDA-M | 9, PANGAYAMBO | 10, RAMISI",,,,,,[f2_ke_chu_gotani_health_center] ='2',y,RH,,,,
f2_ke_vlg_mrimani,general_info,,dropdown,(KE) What is the Village of where you currently live in MRIMANI,"1, KAFULANI_A | 2, KAFULANI_B | 3, MALUWANI | 4, MBIRIMBIRI | 5, MITSIKITSINI | 6, MWABAYANYUNDO | 7, MWIJO_A | 8, MWIJO_B | 9, PONGWE_A | 10, PONGWE_B | 11, WAA",,,,,,[f2_ke_chu_gotani_health_center] ='3',y,RH,,,,
f2_ke_vlg_tsagwa,general_info,,dropdown,(KE) What is the Village of where you currently live in TSAGWA,"1, TSAGWA | 2, MWEMBE_TAYARI | 3, MWANAWIJI | 4, MGOMBANI | 5, MWANZAI",,,,,,[f2_ke_chu_jibana_hospital] ='1',y,RH,,,,
f2_ke_vlg_nyalani,general_info,,dropdown,(KE) What is the Village of where you currently live in NYALANI,"1, MALUANI | 2, MANYANI | 3, MRIMA-MKUU | 4, MWANDAZA-N | 5, NYALANI | 6, TOIYO | 7, TSAKAROLOVU-N | 8, TSUNGUNI | 9, TSUNGUNI_A | 10, TSUNGUNI_C",,,,,,[f2_ke_chu_jibana]='1',y,RH,,,,
f2_ke_vlg_ribe,general_info,,dropdown,(KE) What is the Village of where you currently live in RIBE?,"1, CHAURINGO | 2, MANGO | 3, KIVUKO | 4, MIANZINI | 5, MAKOBENI",,,,,,[f2_ke_chu_ribe_dispensary]='1',y,RH,,,,
f2_ke_vlg_mazera,general_info,,dropdown,(KE) What is the Village of where you currently live in MAZERA?,"1, MBUYUNI | 2, KAEMBENI_A | 3, KAEMBENI_B | 4, UWANJA_WA_NDEGE_A | 5, UWANJA_WA_NDEGE_B | 6, UWANJA_WA_NDEGE_C | 7, GANGA_A | 8, GANGA_B | 9, MIWANI | 10, MTSAPUNI_A | 11, MTSAPUNI_B | 12, KASARANI_ | 13, MAJENGO_MAPYA | 14, MGANDINI_A | 15, MGANDINI_B | 16, RIANI | 17, MONZO | 18, MAGOMBE",,,,,,[f2_ke_chu_rabai_dispensary]='1',y,RH,,,,
f2_ke_vlg_kaliangombe,general_info,,dropdown,(KE) What is the Village of where you currently live in KALIANGOMBE?,"1, KOKOTONI | 2, BAYANI | 3, KALIANGOMBE | 4, MISUFINI | 5, KAOYENI | 6, MGANDINI | 7, KIBAONI",,,,,,[f2_ke_chu_kokotoni_dispensary]='1',y,RH,,,,
