neighborhood_code,exposure_month,lst
3,2019_09_29,
3,2019_09_30,27.887332775615906
3,2019_10_01,30.245493943913218
3,2019_10_02,
3,2019_10_03,
3,2019_10_04,
3,2019_10_05,
3,2019_10_06,
3,2019_10_07,
3,2019_10_08,
3,2019_10_09,
3,2019_10_10,31.49062232372252
3,2019_10_11,
3,2019_10_12,
3,2019_10_13,
3,2019_10_14,
3,2019_10_15,
3,2019_10_16,25.14973084057754
3,2019_10_17,30.94473429600239
3,2019_10_18,
3,2019_10_19,
3,2019_10_20,27.27701433092097
3,2019_10_21,30.510620157858494
3,2019_10_22,24.385721638234866
3,2019_10_23,27.79000000000002
3,2019_10_24,
3,2019_10_25,
3,2019_10_26,29.96956498017677
3,2019_10_27,
3,2019_10_28,35.65518468337375
3,2019_10_29,34.61173889717396
3,2019_10_30,35.53888198814263
3,2019_10_31,34.661142017967926
3,2019_11_01,31.605487851453262
3,2019_11_02,36.788544811406304
3,2019_11_03,
3,2019_11_04,39.22275379187434
3,2019_11_05,
3,2019_11_06,30.730000000000018
3,2019_11_07,32.61913978103516
3,2019_11_08,34.939146873749976
3,2019_11_09,34.41780380460462
3,2019_11_10,29.695676353980886
3,2019_11_11,
3,2019_11_12,
3,2019_11_13,32.79501536754795
3,2019_11_14,
3,2019_11_15,35.11925708362138
3,2019_11_16,
3,2019_11_17,
3,2019_11_18,34.165787992238705
3,2019_11_19,
3,2019_11_20,
3,2019_11_21,34.40917860910078
3,2019_11_22,38.940963881715966
3,2019_11_23,40.014461044629066
3,2019_11_24,38.82593587458601
3,2019_11_25,40.912910831848734
3,2019_11_26,34.176752355145325
3,2019_11_27,41.52167015240291
3,2019_11_28,
3,2019_11_29,40.16602626123041
3,2019_11_30,38.25292901829579
3,2019_12_01,37.804268632015976
3,2019_12_02,41.00285454479382
3,2019_12_03,35.69925817480787
3,2019_12_04,
3,2019_12_05,
3,2019_12_06,33.81621249045189
3,2019_12_07,
3,2019_12_08,
3,2019_12_09,
3,2019_12_10,
3,2019_12_11,
3,2019_12_12,
3,2019_12_13,39.843406139744374
3,2019_12_14,
3,2019_12_15,39.493190994071384
3,2019_12_16,32.37317435347157
3,2019_12_17,34.11714636452882
3,2019_12_18,37.22393982104493
3,2019_12_19,33.58327774342569
3,2019_12_20,39.29780107663736
3,2019_12_21,
3,2019_12_22,32.088677481540465
3,2019_12_23,34.194889062670875
3,2019_12_24,38.48793820245128
3,2019_12_25,
3,2019_12_26,39.07571354526635
3,2019_12_27,41.2441002255123
3,2019_12_28,31.417661404721038
3,2019_12_29,39.239380842395846
3,2019_12_30,
3,2019_12_31,36.63056405266812
3,2020_01_01,31.744497690321413
3,2020_01_02,
3,2020_01_03,28.66982336036267
3,2020_01_04,
3,2020_01_05,32.29792701778654
3,2020_01_06,
3,2020_01_07,
3,2020_01_08,21.21745398828768
3,2020_01_09,23.77000000000004
3,2020_01_10,27.80805247936188
3,2020_01_11,
3,2020_01_12,32.491792547193725
3,2020_01_13,28.730947695776763
3,2020_01_14,35.139375932055565
3,2020_01_15,
3,2020_01_16,37.47868721129063
3,2020_01_17,34.3034825228243
3,2020_01_18,32.22833339395458
3,2020_01_19,36.07621758265709
3,2020_01_20,
3,2020_01_21,
3,2020_01_22,
3,2020_01_23,
3,2020_01_24,
3,2020_01_25,29.568205725093883
3,2020_01_26,
3,2020_01_27,36.17367757247251
3,2020_01_28,
3,2020_01_29,31.154478321754908
3,2020_01_30,40.761880660531965
3,2020_01_31,
3,2020_02_01,41.86600216418692
3,2020_02_02,34.27760875495623
3,2020_02_03,36.86147846724592
3,2020_02_04,40.78366484196012
3,2020_02_05,36.71480549594461
3,2020_02_06,42.06357718328293
3,2020_02_07,
3,2020_02_08,41.297204106500665
3,2020_02_09,
3,2020_02_10,38.2351936856655
3,2020_02_11,37.89763448877871
3,2020_02_12,30.389352744334616
3,2020_02_13,37.596004983087056
3,2020_02_14,31.285069472229836
3,2020_02_15,
3,2020_02_16,
3,2020_02_17,41.64360910049773
3,2020_02_18,37.48528334485121
3,2020_02_19,30.435600536399523
3,2020_02_20,42.94171607318259
3,2020_02_21,
3,2020_02_22,41.3214129051034
3,2020_02_23,
3,2020_02_24,40.623809151420566
3,2020_02_25,
3,2020_02_26,39.628319390390736
3,2020_02_27,41.30790064743738
3,2020_02_28,42.61277998035804
3,2020_02_29,42.644050394646165
3,2020_03_01,31.510000000000048
3,2020_03_02,43.52834566980665
3,2020_03_03,
3,2020_03_04,45.490661441093515
3,2020_03_05,42.40967882733821
3,2020_03_06,44.33003055323252
3,2020_03_07,46.30226857745612
3,2020_03_08,39.31850307350949
3,2020_03_09,47.06287009420562
3,2020_03_10,
3,2020_03_11,44.7016482377324
3,2020_03_12,40.193067417160314
3,2020_03_13,42.98207816535081
3,2020_03_14,
